id;title;main_story;main_plus_extras;completionist
351;Alien Crush Returns;1.5;;
352;Alien Front Online;;;
353;Alien Hallway;2.0;3.0;6.5
354;Alien Hominid;2.5;;12.0
355;Alien Hominid HD;5.0;5.5;7.0
356;Alien Incident;8.5;;
358;Alien Nations;;30.0;
359;Alien Resurrection;7.0;8.0;
360;Alien Shooter;2.0;2.5;3.5
361;Alien Shooter 2: Conscription;2.0;3.0;3.0
362;Alien Shooter 2: Reloaded;5.0;6.0;7.0
363;Alien Shooter: Revisited;2.0;2.0;2.5
364;Alien Shooter: Vengeance;6.0;7.0;9.0
365;Alien Soldier;2.5;4.5;5.0
366;Alien Spidy;;;
367;Alien Storm;0.8;2.5;4.0
368;Alien Swarm;4.0;7.0;13.5
369;Alien Syndrome;2.0;;2.5
370;Alien Syndrome (2007);9.0;25.5;
371;Alien Trilogy;7.0;8.0;
373;Alien vs. Predator (Arcade);1.0;;25.5
374;Alien vs Predator (Jaguar);12.5;;
375;Alien vs. Predator (SNES);2.0;5.5;6.0
376;Alien Zombie Megadeath;4.0;8.0;19.0
378;Aliens versus Predator 2;9.5;13.0;17.5
379;Aliens Versus Predator Classic 2000;6.0;13.5;26.0
381;Aliens vs. Predator (2010);8.5;12.0;23.5
382;Aliens: Colonial Marines;7.0;9.0;17.5
383;Aliens: Infestation;6.0;6.0;6.5
384;Alisia Dragoon;1.5;;2.0
386;All That Matters;0.48333333333333334;0.6;
387;All Zombies Must Die!;8.0;11.0;12.0
388;All Zombies Must Die!: Scorepocalypse;;;
389;All-Pro Football 2K8;;;
390;All-Star Slammin' D-Ball;0.4166666666666667;;
391;Alleyway;2.5;;4.5
392;Allied General;;;
393;Alone in the Dark (1992);5.5;7.5;9.0
394;Alone in the Dark (2008);9.0;12.0;14.5
395;Alone in the Dark 2;5.0;6.5;7.0
396;Alone in the Dark 3;6.0;7.5;9.0
397;Alone in the Dark: The New Nightmare;8.0;10.5;14.0
398;Alpha Mission;;;
399;Alpha Mission II;0.85;;
400;Alpha Prime;5.0;6.0;6.5
401;Alpha Protocol;13.0;17.0;25.5
404;AlphaBounce;;;
405;Alter Echo;6.5;;8.0
407;Alter Ego (1986);;;
408;Alter Ego (2010);9.0;;10.0
409;Altered Beast;1.0;1.5;2.0
410;Altered Beast: Guardian of the Realms;2.0;;
411;AlterEgo: DreamWalker;;;
412;Alternativa;6.0;8.5;8.5
413;Altitude;;;
414;Alundra;28.5;32.0;35.5
415;Alundra 2: A New Legend Begins;22.0;28.5;39.0
416;Always Remember Me;2.0;4.0;7.5
417;Amagami;;;82.0
418;Amagon;0.5;;
419;Amazing Adventures: Around the World;4.5;5.5;
420;Amazing Adventures: The Forgotten Ruins;;;9.0
421;Amazing Adventures: The Lost Tomb;;8.5;
422;Amazon Trail II;;;
423;AMBER: Journeys Beyond;3.0;;
424;The Search for Amelia Earhart;;;
425;America's Army;;;
426;America's Army 3;;;
427;America's Army: Rise of a Soldier;;;
428;American Chopper;5.0;;
429;American Conquest;15.5;;
430;American Conquest: Fight Back;;;
431;American Gladiators;1.5;;3.0
432;American McGee's Alice;11.5;12.5;28.0
433;American Mensa Academy;;;11.5
434;Amerzone: The Explorer's Legacy;4.0;;5.5
435;Amidar;0.08333333333333333;;
436;Amidos Puzzle Collection;;;
438;Amnesia: A Machine for Pigs;4.0;5.0;6.0
439;Amnesia: Justine;0.9833333333333333;1.0;1.5
440;Amnesia: The Dark Descent;8.0;9.0;10.5
441;Among the Sleep;2.5;3.0;3.5
442;Amped 2;;;
443;Amped 3;6.5;9.0;10.5
444;Amped: Freestyle Snowboarding;20.0;20.0;20.0
445;Amplitude;6.5;18.0;192.0
446;Amy;4.5;;
447;An Elder Scrolls Legend: Battlespire;15.0;27.5;57.0
448;An Unfolding Tale;0.25;;
449;An Untitled Story;;11.5;13.0
450;Anachronox;28.0;30.5;35.5
451;Analogue: A Hate Story;3.0;5.0;6.0
452;Anarchy Online;;;
453;Anarchy Reigns;5.5;7.5;13.0
455;Ancients of Ooga;;10.5;
457;And Yet It Moves;3.0;4.5;9.5
458;Andre Agassi Tennis;;;
459;Android Assault: The Revenge of Bari-Arm;1.5;;
460;Angel Devoid: Face of the Enemy;;4.5;9.0
461;Angelica Weaver: Catch Me When You Can;3.5;4.0;4.0
465;Angels Vs Devils;;11.0;
466;Angry Birds;6.5;10.0;14.5
467;Angry Birds Rio;6.0;6.5;10.0
468;Angry Birds Seasons;6.5;8.0;11.5
469;Angry Birds Space;4.5;8.0;10.5
470;Angry Birds Star Wars;4.0;6.5;14.5
471;Angry Birds Trilogy;3.0;26.5;
472;Animal Crossing;69.0;161.0;607.0
473;Animal Crossing: City Folk;68.5;198.0;583.0
474;Animal Crossing: New Leaf;86.5;198.0;389.0
475;Animal Crossing: Wild World;70.0;187.0;355.0
476;Animal Paradise;;;3.5
477;Animamundi: Dark Alchemist;5.0;;
478;Animaniacs;2.0;2.5;4.0
479;Animorphs;;;
480;Ankh;6.0;;9.0
481;Ankh 2: Heart of Osiris;7.5;;8.5
482;Ankh 3: Battle of the Gods;6.0;;7.5
484;Anna's Quest;9.5;11.0;11.5
485;Anno 1404;17.0;41.0;121.0
486;Anno 1404: Venice;20.0;;46.0
487;Anno 1503: The New World;41.5;50.5;
488;Anno 1602;26.0;;62.0
489;Anno 1701;21.0;23.0;
490;Anno 1701: Dawn of Discovery;18.0;;
491;Anno 2070;26.5;41.0;163.0
492;Anodyne;6.0;7.0;9.0
493;Anomaly: Korea;3.5;5.0;7.0
494;Anomaly: Warzone Earth - Mobile Campaign;4.0;4.5;8.0
496;Anomaly: Warzone Earth;6.5;9.5;21.5
497;Anonymous Notes: Chapter 1 - From The Abyss;0.5666666666666667;;2.0
498;Anonymous Notes: Chapter 2 - From The Abyss;;;2.0
499;Another Century's Episode 2;;35.0;
500;Another Century's Episode: R;;32.0;
501;Another Code: R - A Journey into Lost Memories;16.5;18.5;21.0
502;Another Code: Two Memories;5.0;6.5;7.0
503;Another World;2.5;2.5;2.5
504;Anstoss 2;;;
505;Anstoss 2 Gold;;;
506;Anstoss 3;;;
507;Ant War;;;
508;Antarctic Adventure;0.6;;
510;Antichamber;6.0;7.5;9.0
511;Anticipation;0.9;;
512;Anvil of Dawn;15.0;23.0;
513;Ao Oni;0.5;;1.0
515;Apache: Air Assault;;;37.5
517;APB: Reloaded;;;
518;Ape Escape;8.5;10.5;15.0
519;Ape Escape 2;9.5;12.5;23.5
520;Ape Escape 3;7.0;10.5;13.0
521;Ape Escape: On the Loose;7.0;8.0;9.0
522;Aphelion Episode One: Graves of Earth;;6.5;
523;Apocalypse;4.5;8.0;
524;Apollo Justice: Ace Attorney;19.5;21.0;22.0
525;APOX;;;
526;Aqua;3.5;5.0;13.0
527;Aqua Aqua;;;
529;Aquanaut's Holiday: Hidden Memories;20.0;20.0;42.0
530;AquaNox;9.0;10.0;15.0
531;AquaNox 2: Revelation;10.0;12.5;14.0
532;Aquaria;15.5;20.0;23.0
533;AR Games;;;
534;Ar tonelico II: Melody of Metafalica;45.0;56.5;107.0
535;Ar tonelico Qoga: Knell of Ar Ciel;31.0;42.5;104.0
536;Ar tonelico: Melody of Elemia;29.0;42.0;75.5
538;Arabian Magic;0.6666666666666666;;
539;Arabian Nights: Spirit of the Desert King;16.0;16.5;
540;Aralon: Sword and Shadow;11.0;;14.0
541;Arc Arena: Monster Tournament;8.0;;
542;Arc Rise Fantasia;52.0;62.5;78.0
543;Arc the Lad;10.0;14.0;22.0
544;Arc the Lad Collection;;;
545;Arc the Lad II;52.5;68.0;82.0
546;Arc the Lad III;38.5;60.0;60.5
547;Arc the Lad: End of Darkness;15.0;19.0;31.0
548;Arc the Lad: Twilight of the Spirits;35.0;46.5;56.5
549;Arcade's Greatest Hits: The Atari Collection 1;;;
550;Arcade's Greatest Hits: The Atari Collection 2;;;
551;Arcadia;0.35;;0.7
552;Arcana;8.5;;
553;Arcana Heart;0.6333333333333333;3.5;5.5
554;Arcana Heart 3;1.0;10.0;
555;ArcaniA: Fall of Setarrif;2.0;4.0;5.0
556;ArcaniA: Gothic 4;16.0;21.0;29.5
557;Arcanum: Of Steamworks and Magick Obscura;32.0;44.0;67.5
559;Arch Rivals;;;
560;Archon: The Light and the Dark;0.8;;
561;Arcus Odyssey;2.0;;
562;Are You Smarter than a 10 Year Old?;0.1;;2.0
563;Are You Smarter Than a 5th Grader?;0.9833333333333333;;9.5
566;Area 51 (1995);0.6166666666666667;0.75;1.0
567;Area 51 (2005);7.0;7.0;10.0
568;Arena Football (2006);;;
569;Arena: Maze of Death;;;
570;Aretha;;;
573;Arkanoid;2.0;;
574;Arkanoid Plus!;2.0;;
575;Arkanoid: Doh it Again;5.5;;6.0
577;ARMA II: Private Military Company;6.0;;
578;ARMA 3;19.0;44.5;88.5
579;ARMA II;17.0;20.5;39.0
580;ARMA II: British Armed Forces;;;
581;ARMA II: Operation Arrowhead;8.0;38.0;
582;ARMA X: Anniversary Edition;;;
583;ARMA: Armed Assault;11.0;12.5;30.0
584;ARMA: Gold Edition;25.0;25.5;28.5
585;Armada 2526;;;
586;Armageddon Riders;6.0;;
587;Armagetron Advanced;;;
588;Armalyte;;;
589;Armed and Dangerous;6.0;8.0;10.5
590;Armed Forces Corp;1.0;;1.0
591;Armed Police Batrider;2.5;;5.0
592;Armed with Wings 3;0.9333333333333333;;
